account_id,account_name,account_type,tier,onboarding_date,account_manager,commission_rate,fulfillment_reliability,region
ACC-0001,Seller Co. 0001,Seller,Gold,2023-09-24,Sara Ahmadi,0.12,0.953,South
ACC-0002,Seller Co. 0002,Seller,Silver,2023-01-19,Arman Hosseini,0.15,0.915,East
ACC-0003,Seller Co. 0003,Seller,Silver,2023-09-22,Sara Ahmadi,0.15,0.911,West
ACC-0004,Seller Co. 0004,Seller,Bronze,2024-01-26,Sara Ahmadi,0.18,0.881,North
ACC-0005,Seller Co. 0005,Seller,Silver,2021-10-03,Leila Moradi,0.15,0.86,Central
ACC-0006,Seller Co. 0006,Seller,Platinum,2023-02-13,Sara Ahmadi,0.09,0.973,South
ACC-0007,Seller Co. 0007,Seller,Bronze,2022-06-30,Arman Hosseini,0.18,0.863,West
ACC-0008,Seller Co. 0008,Seller,Bronze,2021-12-28,Sara Ahmadi,0.18,0.899,West
ACC-0009,Seller Co. 0009,Seller,Platinum,2022-10-30,Sara Ahmadi,0.09,0.975,Central
ACC-0010,Seller Co. 0010,Seller,Silver,2022-05-12,Babak Sadeghi,0.15,0.96,South
ACC-0011,Seller Co. 0011,Seller,Bronze,2024-01-29,Arman Hosseini,0.18,0.909,North
ACC-0012,Seller Co. 0012,Seller,Silver,2023-09-27,Arman Hosseini,0.15,0.95,South
ACC-0013,Seller Co. 0013,Seller,Platinum,2024-05-02,Sara Ahmadi,0.09,0.999,North
ACC-0014,Seller Co. 0014,Seller,Bronze,2023-02-01,Babak Sadeghi,0.18,0.931,South
ACC-0015,Seller Co. 0015,Seller,Gold,2021-12-15,Kian Rostami,0.12,0.992,North
ACC-0016,Seller Co. 0016,Seller,Silver,2021-01-23,Babak Sadeghi,0.15,0.948,South
ACC-0017,Seller Co. 0017,Seller,Bronze,2022-06-02,Niloofar Karimi,0.18,0.948,South
ACC-0018,Seller Co. 0018,Seller,Bronze,2022-03-16,Niloofar Karimi,0.18,0.89,North
ACC-0019,Seller Co. 0019,Seller,Platinum,2022-11-18,Arman Hosseini,0.09,0.999,East
ACC-0020,Seller Co. 0020,Seller,Bronze,2023-10-11,Arman Hosseini,0.18,0.887,West
ACC-0021,Seller Co. 0021,Seller,Bronze,2022-12-19,Arman Hosseini,0.18,0.851,South
ACC-0022,Seller Co. 0022,Seller,Silver,2021-03-26,Niloofar Karimi,0.15,0.869,East
ACC-0023,Seller Co. 0023,Seller,Bronze,2022-02-20,Sara Ahmadi,0.18,0.866,East
ACC-0024,Seller Co. 0024,Seller,Bronze,2022-07-05,Babak Sadeghi,0.18,0.875,North
ACC-0025,Seller Co. 0025,Seller,Bronze,2023-09-28,Sara Ahmadi,0.18,0.859,Central
ACC-0026,Seller Co. 0026,Seller,Silver,2023-02-04,Niloofar Karimi,0.15,0.911,East
ACC-0027,Seller Co. 0027,Seller,Silver,2024-02-04,Arman Hosseini,0.15,0.909,East
ACC-0028,Seller Co. 0028,Seller,Silver,2022-02-19,Sara Ahmadi,0.15,0.956,West
ACC-0029,Seller Co. 0029,Seller,Bronze,2021-05-04,Babak Sadeghi,0.18,0.895,South
ACC-0030,Seller Co. 0030,Seller,Bronze,2023-07-29,Arman Hosseini,0.18,0.907,North
ACC-0031,Seller Co. 0031,Seller,Gold,2024-01-02,Leila Moradi,0.12,0.968,West
ACC-0032,Seller Co. 0032,Seller,Bronze,2021-03-31,Arman Hosseini,0.18,0.892,West
ACC-0033,Seller Co. 0033,Seller,Silver,2023-04-14,Sara Ahmadi,0.15,0.942,Central
ACC-0034,Seller Co. 0034,Seller,Silver,2024-07-03,Kian Rostami,0.15,0.936,South
ACC-0035,Seller Co. 0035,Seller,Silver,2023-12-14,Kian Rostami,0.15,0.925,Central
ACC-0036,Seller Co. 0036,Seller,Bronze,2023-11-02,Kian Rostami,0.18,0.89,Central
ACC-0037,Seller Co. 0037,Seller,Bronze,2022-09-04,Kian Rostami,0.18,0.892,Central
ACC-0038,Seller Co. 0038,Seller,Bronze,2024-04-14,Arman Hosseini,0.18,0.85,West
ACC-0039,Seller Co. 0039,Seller,Silver,2021-09-09,Leila Moradi,0.15,0.902,East
ACC-0040,Seller Co. 0040,Seller,Bronze,2022-12-16,Babak Sadeghi,0.18,0.825,South
ACC-0041,Seller Co. 0041,Seller,Bronze,2022-08-19,Babak Sadeghi,0.18,0.877,South
ACC-0042,Seller Co. 0042,Seller,Bronze,2022-09-30,Arman Hosseini,0.18,0.806,South
ACC-0043,Seller Co. 0043,Seller,Gold,2021-07-28,Niloofar Karimi,0.12,0.999,South
ACC-0044,Seller Co. 0044,Seller,Silver,2022-02-27,Niloofar Karimi,0.15,0.929,South
