activity_id,regarding_type,regarding_id,activity_type,activity_date
ACT-0000544,Lead,LEAD-00219,Email,2020-11-05
ACT-0000543,Lead,LEAD-00219,Email,2020-11-08
ACT-0000211,Lead,LEAD-00086,Phone Call,2020-11-10
ACT-0000545,Lead,LEAD-00219,Task,2020-11-14
ACT-0000542,Lead,LEAD-00219,Email,2020-11-15
ACT-0000037,Lead,LEAD-00016,Phone Call,2020-11-22
ACT-0000210,Lead,LEAD-00086,Task,2020-11-23
ACT-0000226,Lead,LEAD-00092,Phone Call,2020-11-24
ACT-0000557,Lead,LEAD-00223,Phone Call,2020-11-24
ACT-0000038,Lead,LEAD-00016,Phone Call,2020-11-26
ACT-0000225,Lead,LEAD-00092,Email,2020-11-28
ACT-0000228,Lead,LEAD-00092,Phone Call,2020-11-29
ACT-0000039,Lead,LEAD-00016,Email,2020-12-02
ACT-0000558,Lead,LEAD-00223,Task,2020-12-03
ACT-0000556,Lead,LEAD-00223,Phone Call,2020-12-04
ACT-0002756,Opportunity,OPP-00219,Email,2020-12-04
ACT-0000227,Lead,LEAD-00092,Email,2020-12-06
ACT-0000555,Lead,LEAD-00223,Phone Call,2020-12-07
ACT-0000215,Lead,LEAD-00088,Phone Call,2020-12-13
ACT-0002754,Opportunity,OPP-00219,Task,2020-12-15
ACT-0001947,Opportunity,OPP-00016,Phone Call,2020-12-16
ACT-0002755,Opportunity,OPP-00219,Meeting,2020-12-18
ACT-0000308,Lead,LEAD-00123,Task,2020-12-21
ACT-0002233,Opportunity,OPP-00086,Email,2020-12-24
ACT-0002234,Opportunity,OPP-00086,Task,2020-12-25
ACT-0002240,Opportunity,OPP-00088,Phone Call,2020-12-26
ACT-0000309,Lead,LEAD-00123,Phone Call,2021-01-02
ACT-0000050,Lead,LEAD-00022,Email,2021-01-03
ACT-0000317,Lead,LEAD-00127,Phone Call,2021-01-03
ACT-0000655,Lead,LEAD-00262,Email,2021-01-03
ACT-0002258,Opportunity,OPP-00092,Phone Call,2021-01-03
ACT-0000076,Lead,LEAD-00032,Email,2021-01-04
ACT-0000077,Lead,LEAD-00032,Phone Call,2021-01-04
ACT-0000653,Lead,LEAD-00262,Phone Call,2021-01-04
ACT-0000654,Lead,LEAD-00262,Task,2021-01-05
ACT-0000052,Lead,LEAD-00022,Phone Call,2021-01-07
ACT-0001948,Opportunity,OPP-00016,Phone Call,2021-01-07
ACT-0000642,Lead,LEAD-00257,Email,2021-01-08
ACT-0002243,Opportunity,OPP-00088,Email,2021-01-08
ACT-0002257,Opportunity,OPP-00092,Task,2021-01-08
ACT-0002370,Opportunity,OPP-00123,Phone Call,2021-01-09
ACT-0000075,Lead,LEAD-00032,Email,2021-01-11
ACT-0000641,Lead,LEAD-00257,Task,2021-01-11
ACT-0002770,Opportunity,OPP-00223,Email,2021-01-11
ACT-0002235,Opportunity,OPP-00086,Email,2021-01-12
ACT-0002915,Opportunity,OPP-00257,Meeting,2021-01-12
ACT-0000318,Lead,LEAD-00127,Phone Call,2021-01-14
ACT-0002773,Opportunity,OPP-00223,Email,2021-01-14
ACT-0000316,Lead,LEAD-00127,Task,2021-01-16
ACT-0000448,Lead,LEAD-00183,Phone Call,2021-01-16
ACT-0000635,Lead,LEAD-00255,Email,2021-01-16
ACT-0001471,Lead,LEAD-00584,Email,2021-01-16
ACT-0000652,Lead,LEAD-00262,Task,2021-01-19
ACT-0000486,Lead,LEAD-00195,Phone Call,2021-01-20
ACT-0000051,Lead,LEAD-00022,Task,2021-01-21
ACT-0001174,Lead,LEAD-00475,Phone Call,2021-01-21
ACT-0002772,Opportunity,OPP-00223,Email,2021-01-21
ACT-0000450,Lead,LEAD-00183,Phone Call,2021-01-22
ACT-0000636,Lead,LEAD-00255,Meeting,2021-01-22
ACT-0001470,Lead,LEAD-00584,Email,2021-01-23
ACT-0002918,Opportunity,OPP-00257,Phone Call,2021-01-23
ACT-0000451,Lead,LEAD-00183,Email,2021-01-24
ACT-0001216,Lead,LEAD-00492,Email,2021-01-24
ACT-0001235,Lead,LEAD-00498,Email,2021-01-24
ACT-0002931,Opportunity,OPP-00262,Phone Call,2021-01-24
ACT-0001173,Lead,LEAD-00475,Task,2021-01-25
ACT-0002771,Opportunity,OPP-00223,Phone Call,2021-01-25
ACT-0001233,Lead,LEAD-00498,Email,2021-01-26
ACT-0002242,Opportunity,OPP-00088,Phone Call,2021-01-26
ACT-0002916,Opportunity,OPP-00257,Phone Call,2021-01-26
ACT-0000449,Lead,LEAD-00183,Phone Call,2021-01-27
ACT-0000488,Lead,LEAD-00195,Phone Call,2021-01-27
ACT-0000381,Lead,LEAD-00156,Task,2021-01-29
ACT-0000147,Lead,LEAD-00056,Email,2021-01-31
ACT-0001234,Lead,LEAD-00498,Email,2021-01-31
ACT-0002914,Opportunity,OPP-00257,Email,2021-01-31
ACT-0002934,Opportunity,OPP-00262,Meeting,2021-01-31
ACT-0000382,Lead,LEAD-00156,Task,2021-02-01
ACT-0000958,Lead,LEAD-00388,Email,2021-02-02
ACT-0001569,Lead,LEAD-00631,Phone Call,2021-02-02
ACT-0002659,Opportunity,OPP-00195,Phone Call,2021-02-02
ACT-0000148,Lead,LEAD-00056,Task,2021-02-04
ACT-0000487,Lead,LEAD-00195,Phone Call,2021-02-04
ACT-0001217,Lead,LEAD-00492,Phone Call,2021-02-04
ACT-0003314,Opportunity,OPP-00358,Phone Call,2021-02-04
ACT-0001215,Lead,LEAD-00492,Phone Call,2021-02-05
ACT-0001700,Lead,LEAD-00681,Phone Call,2021-02-06
ACT-0002241,Opportunity,OPP-00088,Phone Call,2021-02-06
ACT-0003302,Opportunity,OPP-00354,Phone Call,2021-02-06
ACT-0000146,Lead,LEAD-00056,Phone Call,2021-02-07
ACT-0001662,Lead,LEAD-00664,Phone Call,2021-02-07
ACT-0001701,Lead,LEAD-00681,Email,2021-02-08
ACT-0002774,Opportunity,OPP-00223,Phone Call,2021-02-10
ACT-0000687,Lead,LEAD-00275,Phone Call,2021-02-11
ACT-0001299,Lead,LEAD-00522,Email,2021-02-12
ACT-0003556,Opportunity,OPP-00418,Task,2021-02-12
ACT-0001844,Lead,LEAD-00739,Email,2021-02-13
ACT-0001702,Lead,LEAD-00681,Phone Call,2021-02-14
ACT-0003008,Opportunity,OPP-00280,Phone Call,2021-02-14
ACT-0000511,Lead,LEAD-00206,Email,2021-02-15
ACT-0000688,Lead,LEAD-00275,Email,2021-02-15
ACT-0002932,Opportunity,OPP-00262,Task,2021-02-15
ACT-0000686,Lead,LEAD-00275,Email,2021-02-16
ACT-0000758,Lead,LEAD-00302,Email,2021-02-16
ACT-0002504,Opportunity,OPP-00156,Email,2021-02-16
ACT-0003013,Opportunity,OPP-00280,Task,2021-02-16
ACT-0000145,Lead,LEAD-00056,Task,2021-02-17
ACT-0000259,Lead,LEAD-00104,Email,2021-02-17
ACT-0001661,Lead,LEAD-00664,Phone Call,2021-02-17
ACT-0002104,Opportunity,OPP-00056,Phone Call,2021-02-17
ACT-0002369,Opportunity,OPP-00123,Phone Call,2021-02-17
ACT-0002930,Opportunity,OPP-00262,Email,2021-02-17
ACT-0000510,Lead,LEAD-00206,Meeting,2021-02-18
ACT-0000625,Lead,LEAD-00251,Email,2021-02-18
ACT-0000785,Lead,LEAD-00312,Phone Call,2021-02-18
ACT-0002506,Opportunity,OPP-00156,Meeting,2021-02-18
ACT-0001660,Lead,LEAD-00664,Phone Call,2021-02-19
ACT-0002917,Opportunity,OPP-00257,Task,2021-02-19
ACT-0003009,Opportunity,OPP-00280,Task,2021-02-19
ACT-0000135,Lead,LEAD-00051,Phone Call,2021-02-20
ACT-0000261,Lead,LEAD-00104,Email,2021-02-20
ACT-0000757,Lead,LEAD-00302,Email,2021-02-20
ACT-0002919,Opportunity,OPP-00257,Email,2021-02-20
ACT-0000133,Lead,LEAD-00051,Email,2021-02-21
ACT-0002507,Opportunity,OPP-00156,Email,2021-02-21
ACT-0002905,Opportunity,OPP-00255,Email,2021-02-21
ACT-0000132,Lead,LEAD-00051,Email,2021-02-22
ACT-0000260,Lead,LEAD-00104,Task,2021-02-22
ACT-0002664,Opportunity,OPP-00195,Phone Call,2021-02-22
ACT-0001076,Lead,LEAD-00434,Email,2021-02-23
ACT-0003303,Opportunity,OPP-00354,Email,2021-02-23
ACT-0000512,Lead,LEAD-00206,Phone Call,2021-02-24
ACT-0000784,Lead,LEAD-00312,Meeting,2021-02-24
ACT-0002009,Opportunity,OPP-00032,Task,2021-02-24
ACT-0002081,Opportunity,OPP-00051,Phone Call,2021-02-24
ACT-0000775,Lead,LEAD-00308,Email,2021-02-25
ACT-0001078,Lead,LEAD-00434,Phone Call,2021-02-25
ACT-0002660,Opportunity,OPP-00195,Phone Call,2021-02-25
ACT-0000134,Lead,LEAD-00051,Phone Call,2021-02-26
ACT-0002080,Opportunity,OPP-00051,Email,2021-02-26
ACT-0002662,Opportunity,OPP-00195,Phone Call,2021-02-26
ACT-0000258,Lead,LEAD-00104,Email,2021-02-27
