case_id,customer_id,order_id,category,priority,created_date,resolved_date,resolution_hours,sla_hours,met_sla,status,csat_score
CASE-020172,CUST-015231,ORD-0000143,Return Request,Medium,2023-01-01,,,48,False,Escalated,
CASE-020176,CUST-030871,ORD-0000262,Return Request,Low,2023-01-01,2023-01-05,115.3,72,False,Resolved,3.0
CASE-020177,CUST-017350,ORD-0000266,Return Request,Low,2023-01-01,2023-01-05,117.6,72,False,Resolved,3.0
CASE-020178,CUST-029814,ORD-0000268,Return Request,Low,2023-01-01,2023-01-05,102.1,72,False,Resolved,4.0
CASE-020179,CUST-027202,ORD-0000278,Return Request,Urgent,2023-01-01,2023-01-01,12.5,8,False,Resolved,2.0
CASE-020181,CUST-034344,ORD-0000316,Return Request,Medium,2023-01-01,2023-01-04,72.2,48,False,Resolved,3.0
CASE-020184,CUST-027654,ORD-0000340,Return Request,High,2023-01-01,2023-01-01,14.2,24,True,Resolved,5.0
CASE-020186,CUST-026679,ORD-0000354,Return Request,High,2023-01-01,2023-01-01,9.7,24,True,Resolved,5.0
CASE-020189,CUST-008948,ORD-0000461,Return Request,Medium,2023-01-01,2023-01-01,13.3,48,True,Resolved,5.0
CASE-053482,CUST-015464,ORD-0000172,Payment Issue,Low,2023-01-01,,,72,False,Escalated,
CASE-053483,CUST-035854,ORD-0000259,Payment Issue,High,2023-01-01,2023-01-02,35.0,24,False,Resolved,5.0
CASE-058821,CUST-029459,,General Inquiry,Low,2023-01-01,2023-01-02,38.0,72,True,Resolved,4.0
CASE-058838,CUST-011633,,General Inquiry,Low,2023-01-01,2023-01-02,36.3,72,True,Resolved,5.0
CASE-059094,CUST-000813,,General Inquiry,Urgent,2023-01-01,2023-01-01,2.9,8,True,Resolved,5.0
CASE-059522,CUST-030481,,General Inquiry,Medium,2023-01-01,2023-01-01,5.8,48,True,Resolved,4.0
CASE-061657,CUST-031287,,General Inquiry,Low,2023-01-01,2023-01-04,84.7,72,False,Resolved,2.0
CASE-061830,CUST-010135,,General Inquiry,Low,2023-01-01,2023-01-01,17.1,72,True,Resolved,5.0
CASE-062714,CUST-002486,,General Inquiry,Low,2023-01-01,2023-01-01,15.7,72,True,Resolved,4.0
CASE-063002,CUST-011391,,General Inquiry,Low,2023-01-01,2023-01-04,81.0,72,False,Resolved,4.0
CASE-063376,CUST-026640,,General Inquiry,Medium,2023-01-01,2023-01-01,2.6,48,True,Resolved,4.0
CASE-063748,CUST-022773,,General Inquiry,Low,2023-01-01,2023-01-04,90.1,72,False,Resolved,3.0
CASE-064678,CUST-031298,,General Inquiry,Low,2023-01-01,2023-01-04,72.9,72,False,Resolved,4.0
CASE-064714,CUST-021811,,General Inquiry,Low,2023-01-01,2023-01-04,88.5,72,False,Resolved,2.0
CASE-065078,CUST-015083,,General Inquiry,Medium,2023-01-01,2023-01-01,5.6,48,True,Resolved,4.0
CASE-065582,CUST-009847,,General Inquiry,Low,2023-01-01,2023-01-01,11.3,72,True,Resolved,3.0
CASE-000005,CUST-025634,ORD-0000239,Delivery Issue,Low,2023-01-02,2023-01-04,55.1,72,True,Resolved,5.0
CASE-000007,CUST-002866,ORD-0000299,Delivery Issue,Medium,2023-01-02,2023-01-02,21.4,48,True,Resolved,4.0
CASE-000011,CUST-018737,ORD-0000356,Delivery Issue,Medium,2023-01-02,2023-01-02,14.4,48,True,Resolved,5.0
CASE-000012,CUST-002858,ORD-0000380,Delivery Issue,Medium,2023-01-02,2023-01-05,88.3,48,False,Resolved,3.0
CASE-000013,CUST-034461,ORD-0000394,Delivery Issue,High,2023-01-02,2023-01-02,16.5,24,True,Resolved,3.0
CASE-020169,CUST-020457,ORD-0000111,Return Request,Urgent,2023-01-02,2023-01-02,2.4,8,True,Resolved,5.0
CASE-020170,CUST-006031,ORD-0000119,Return Request,Medium,2023-01-02,2023-01-03,25.4,48,True,Resolved,5.0
CASE-020173,CUST-012119,ORD-0000156,Return Request,Low,2023-01-02,2023-01-04,62.0,72,True,Resolved,4.0
CASE-020182,CUST-023132,ORD-0000322,Return Request,Urgent,2023-01-02,2023-01-02,1.4,8,True,Resolved,4.0
CASE-020183,CUST-007232,ORD-0000335,Return Request,Medium,2023-01-02,2023-01-03,40.3,48,True,Resolved,5.0
CASE-020188,CUST-027095,ORD-0000409,Return Request,Low,2023-01-02,2023-01-04,51.4,72,True,Resolved,4.0
CASE-020193,CUST-001272,ORD-0000507,Return Request,Urgent,2023-01-02,,,8,False,Escalated,
CASE-020195,CUST-031455,ORD-0000520,Return Request,High,2023-01-02,2023-01-02,4.7,24,True,Resolved,4.0
CASE-020202,CUST-009117,ORD-0000637,Return Request,High,2023-01-02,2023-01-03,42.1,24,False,Resolved,3.0
CASE-020204,CUST-019108,ORD-0000700,Return Request,Medium,2023-01-02,2023-01-04,60.9,48,False,Resolved,5.0
CASE-020207,CUST-025689,ORD-0000879,Return Request,Medium,2023-01-02,2023-01-03,37.5,48,True,Resolved,4.0
CASE-020209,CUST-003964,ORD-0000895,Return Request,Medium,2023-01-02,2023-01-03,36.5,48,True,Resolved,5.0
CASE-053481,CUST-029716,ORD-0000012,Payment Issue,Urgent,2023-01-02,2023-01-02,1.9,8,True,Resolved,4.0
CASE-057377,CUST-024003,,General Inquiry,Low,2023-01-02,2023-01-06,105.9,72,False,Resolved,3.0
CASE-057741,CUST-035247,,General Inquiry,Low,2023-01-02,2023-01-02,23.1,72,True,Resolved,5.0
CASE-058158,CUST-031212,,General Inquiry,Medium,2023-01-02,2023-01-05,73.7,48,False,Resolved,4.0
CASE-059105,CUST-018988,,General Inquiry,Low,2023-01-02,2023-01-07,123.9,72,False,Resolved,4.0
CASE-060041,CUST-012615,,General Inquiry,Low,2023-01-02,2023-01-09,173.3,72,False,Resolved,4.0
CASE-060457,CUST-009022,,General Inquiry,Medium,2023-01-02,2023-01-05,80.7,48,False,Resolved,3.0
CASE-062300,CUST-022332,,General Inquiry,Medium,2023-01-02,2023-01-03,41.4,48,True,Resolved,4.0
CASE-062905,CUST-026073,,General Inquiry,Low,2023-01-02,,,72,False,Open,
CASE-063223,CUST-003912,,General Inquiry,Medium,2023-01-02,2023-01-05,72.1,48,False,Resolved,1.0
CASE-064267,CUST-004667,,General Inquiry,Low,2023-01-02,2023-01-03,32.2,72,True,Resolved,5.0
CASE-000002,CUST-013293,ORD-0000197,Delivery Issue,Low,2023-01-03,2023-01-04,35.2,72,True,Resolved,3.0
CASE-000008,CUST-023504,ORD-0000311,Delivery Issue,Low,2023-01-03,2023-01-09,144.8,72,False,Resolved,4.0
CASE-000010,CUST-026679,ORD-0000354,Delivery Issue,Medium,2023-01-03,,,48,False,Escalated,
CASE-000016,CUST-019545,ORD-0000557,Delivery Issue,High,2023-01-03,2023-01-03,4.1,24,True,Resolved,4.0
CASE-000017,CUST-015306,ORD-0000604,Delivery Issue,Low,2023-01-03,2023-01-06,83.1,72,False,Resolved,3.0
CASE-000023,CUST-015269,ORD-0000734,Delivery Issue,Urgent,2023-01-03,2023-01-03,4.6,8,True,Resolved,5.0
CASE-000024,CUST-000197,ORD-0000763,Delivery Issue,Low,2023-01-03,2023-01-08,141.3,72,False,Resolved,1.0
CASE-000029,CUST-004424,ORD-0000896,Delivery Issue,Urgent,2023-01-03,2023-01-03,6.7,8,True,Resolved,5.0
CASE-020166,CUST-016561,ORD-0000011,Return Request,Medium,2023-01-03,2023-01-03,1.2,48,True,Resolved,4.0
CASE-020167,CUST-019210,ORD-0000014,Return Request,Medium,2023-01-03,2023-01-06,81.3,48,False,Resolved,4.0
CASE-020168,CUST-033433,ORD-0000070,Return Request,Medium,2023-01-03,2023-01-05,63.6,48,False,Resolved,3.0
CASE-020171,CUST-035657,ORD-0000123,Return Request,Medium,2023-01-03,2023-01-05,66.2,48,False,Resolved,4.0
CASE-020174,CUST-019686,ORD-0000191,Return Request,Low,2023-01-03,2023-01-04,34.0,72,True,Resolved,5.0
