customer_id,registration_date,region,acquisition_channel,marketing_opt_in
CUST-000001,2024-08-29,Central,Social Media,False
CUST-000002,2020-12-25,South,Social Media,True
CUST-000003,2023-11-27,North,Email Campaign,True
CUST-000004,2023-02-28,South,Paid Ads,True
CUST-000005,2023-12-03,South,Social Media,False
CUST-000006,2020-09-18,Central,Organic Search,True
CUST-000007,2020-10-31,South,Paid Ads,True
CUST-000008,2021-10-01,North,Paid Ads,False
CUST-000009,2024-11-21,East,Referral,True
CUST-000010,2022-06-01,South,Social Media,False
CUST-000011,2023-08-12,North,Social Media,False
CUST-000012,2024-11-27,West,Organic Search,False
CUST-000013,2024-01-07,Central,Paid Ads,True
CUST-000014,2021-12-10,South,Organic Search,True
CUST-000015,2022-12-18,West,Organic Search,False
CUST-000016,2021-04-09,South,Referral,False
CUST-000017,2022-05-02,Central,Email Campaign,True
CUST-000018,2022-06-01,South,Organic Search,True
CUST-000019,2020-06-18,Central,Organic Search,True
CUST-000020,2024-06-21,North,Paid Ads,False
CUST-000021,2024-08-22,North,Paid Ads,True
CUST-000022,2023-05-04,South,Organic Search,True
CUST-000023,2023-10-10,Central,Social Media,True
CUST-000024,2023-08-18,West,Organic Search,True
CUST-000025,2023-11-13,Central,Social Media,False
CUST-000026,2024-12-08,Central,Social Media,True
CUST-000027,2023-07-26,East,Email Campaign,False
CUST-000028,2021-07-14,Central,Paid Ads,True
CUST-000029,2023-12-23,Central,Paid Ads,False
CUST-000030,2023-12-20,East,Paid Ads,True
CUST-000031,2024-07-04,East,Organic Search,True
CUST-000032,2023-12-06,Central,Email Campaign,False
CUST-000033,2022-07-08,North,Paid Ads,True
CUST-000034,2020-09-22,Central,Social Media,False
CUST-000035,2023-01-23,Central,Organic Search,False
CUST-000036,2023-10-01,East,Paid Ads,False
CUST-000037,2024-02-12,North,Paid Ads,False
CUST-000038,2023-11-25,North,Paid Ads,True
CUST-000039,2023-08-22,West,Organic Search,False
CUST-000040,2023-08-31,Central,Social Media,False
CUST-000041,2022-01-25,East,Organic Search,True
CUST-000042,2022-10-29,North,Organic Search,True
CUST-000043,2022-12-08,Central,Paid Ads,True
CUST-000044,2020-09-25,West,Organic Search,False
CUST-000045,2024-10-23,Central,Organic Search,False
CUST-000046,2021-02-12,Central,Email Campaign,False
CUST-000047,2024-11-12,North,Referral,True
CUST-000048,2024-04-23,North,Paid Ads,False
CUST-000049,2022-01-04,East,Social Media,True
CUST-000050,2022-09-12,West,Organic Search,False
CUST-000051,2022-02-22,North,Organic Search,True
CUST-000052,2023-09-19,South,Paid Ads,False
CUST-000053,2020-08-14,East,Paid Ads,False
CUST-000054,2022-12-18,East,Social Media,False
CUST-000055,2024-03-07,Central,Paid Ads,False
CUST-000056,2023-02-03,North,Social Media,False
CUST-000057,2023-09-30,Central,Referral,True
CUST-000058,2022-12-23,South,Social Media,True
CUST-000059,2023-09-30,West,Social Media,True
CUST-000060,2024-07-16,Central,Paid Ads,True
CUST-000061,2023-12-01,Central,Organic Search,True
CUST-000062,2024-08-23,West,Paid Ads,True
CUST-000063,2024-06-19,Central,Referral,True
CUST-000064,2023-04-12,Central,Paid Ads,True
CUST-000065,2022-12-05,East,Referral,False
CUST-000066,2023-12-31,East,Paid Ads,False
CUST-000067,2023-12-09,East,Organic Search,True
CUST-000068,2022-06-27,Central,Paid Ads,True
CUST-000069,2023-09-26,Central,Social Media,False
