lead_id,lead_source,created_date,status,converted_account_id
LEAD-00001,Marketplace Inquiry,2023-08-12,Converted,ACC-0001
LEAD-00002,Marketplace Inquiry,2022-10-26,Converted,ACC-0002
LEAD-00003,Referral,2023-06-29,Converted,ACC-0003
LEAD-00004,Partner Channel,2023-12-19,Converted,ACC-0004
LEAD-00005,Referral,2021-08-24,Converted,ACC-0005
LEAD-00006,Trade Show,2023-01-10,Converted,ACC-0006
LEAD-00007,Referral,2022-05-23,Converted,ACC-0007
LEAD-00008,Referral,2021-11-27,Converted,ACC-0008
LEAD-00009,Marketplace Inquiry,2022-08-15,Converted,ACC-0009
LEAD-00010,Referral,2022-02-28,Converted,ACC-0010
LEAD-00011,Partner Channel,2023-11-09,Converted,ACC-0011
LEAD-00012,Marketplace Inquiry,2023-08-27,Converted,ACC-0012
LEAD-00013,Outbound Prospecting,2024-03-19,Converted,ACC-0013
LEAD-00014,Referral,2022-11-18,Converted,ACC-0014
LEAD-00015,Marketplace Inquiry,2021-11-02,Converted,ACC-0015
LEAD-00016,Outbound Prospecting,2020-11-15,Converted,ACC-0016
LEAD-00017,Marketplace Inquiry,2022-05-16,Converted,ACC-0017
LEAD-00018,Outbound Prospecting,2022-01-29,Converted,ACC-0018
LEAD-00019,Outbound Prospecting,2022-10-21,Converted,ACC-0019
LEAD-00020,Trade Show,2023-08-21,Converted,ACC-0020
LEAD-00021,Outbound Prospecting,2022-11-20,Converted,ACC-0021
LEAD-00022,Outbound Prospecting,2021-01-02,Converted,ACC-0022
LEAD-00023,Referral,2022-01-01,Converted,ACC-0023
LEAD-00024,Marketplace Inquiry,2022-04-22,Converted,ACC-0024
LEAD-00025,Referral,2023-09-12,Converted,ACC-0025
LEAD-00026,Outbound Prospecting,2023-01-09,Converted,ACC-0026
LEAD-00027,Outbound Prospecting,2023-11-22,Converted,ACC-0027
LEAD-00028,Marketplace Inquiry,2021-12-10,Converted,ACC-0028
LEAD-00029,Referral,2021-02-27,Converted,ACC-0029
LEAD-00030,Marketplace Inquiry,2023-06-14,Converted,ACC-0030
LEAD-00031,Outbound Prospecting,2023-11-19,Converted,ACC-0031
LEAD-00032,Referral,2021-01-01,Converted,ACC-0032
LEAD-00033,Marketplace Inquiry,2023-02-25,Converted,ACC-0033
LEAD-00034,Marketplace Inquiry,2024-06-03,Converted,ACC-0034
LEAD-00035,Marketplace Inquiry,2023-11-28,Converted,ACC-0035
LEAD-00036,Trade Show,2023-09-18,Converted,ACC-0036
LEAD-00037,Referral,2022-06-21,Converted,ACC-0037
LEAD-00038,Outbound Prospecting,2024-01-20,Converted,ACC-0038
LEAD-00039,Trade Show,2021-06-20,Converted,ACC-0039
LEAD-00040,Referral,2022-10-19,Converted,ACC-0040
LEAD-00041,Marketplace Inquiry,2022-06-27,Converted,ACC-0041
LEAD-00042,Marketplace Inquiry,2022-07-22,Converted,ACC-0042
LEAD-00043,Trade Show,2021-06-11,Converted,ACC-0043
LEAD-00044,Marketplace Inquiry,2021-12-29,Converted,ACC-0044
LEAD-00045,Outbound Prospecting,2024-05-23,Converted,ACC-0045
LEAD-00046,Marketplace Inquiry,2021-04-16,Converted,ACC-0046
LEAD-00047,Marketplace Inquiry,2023-09-08,Converted,ACC-0047
LEAD-00048,Partner Channel,2022-11-20,Converted,ACC-0048
LEAD-00049,Marketplace Inquiry,2023-10-03,Converted,ACC-0049
LEAD-00050,Outbound Prospecting,2022-02-07,Converted,ACC-0050
LEAD-00051,Partner Channel,2021-02-11,Converted,ACC-0051
LEAD-00052,Marketplace Inquiry,2024-02-16,Converted,ACC-0052
LEAD-00053,Partner Channel,2022-10-18,Converted,ACC-0053
LEAD-00054,Outbound Prospecting,2021-07-23,Converted,ACC-0054
LEAD-00055,Trade Show,2021-12-23,Converted,ACC-0055
LEAD-00056,Marketplace Inquiry,2021-01-30,Converted,ACC-0056
LEAD-00057,Marketplace Inquiry,2023-01-17,Converted,ACC-0057
LEAD-00058,Trade Show,2023-10-26,Converted,ACC-0058
LEAD-00059,Marketplace Inquiry,2022-12-04,Converted,ACC-0059
LEAD-00060,Outbound Prospecting,2024-07-25,Converted,ACC-0060
LEAD-00061,Trade Show,2023-05-02,Converted,ACC-0061
LEAD-00062,Marketplace Inquiry,2022-06-19,Converted,ACC-0062
LEAD-00063,Referral,2023-11-26,Converted,ACC-0063
