opportunity_id,lead_id,account_id,opportunity_type,created_date,close_date,stage,estimated_value_usd,loss_reason
OPP-00001,LEAD-00001,ACC-0001,New Seller Onboarding,2023-08-31,2023-09-24,Closed Won,168822.79,
OPP-00002,LEAD-00002,ACC-0002,New Seller Onboarding,2023-01-09,2023-01-19,Closed Won,60506.55,
OPP-00003,LEAD-00003,ACC-0003,New Seller Onboarding,2023-09-20,2023-09-22,Closed Won,63297.33,
OPP-00004,LEAD-00004,ACC-0004,New Seller Onboarding,2024-01-10,2024-01-26,Closed Won,17552.69,
OPP-00005,LEAD-00005,ACC-0005,New Seller Onboarding,2021-09-24,2021-10-03,Closed Won,51192.34,
OPP-00006,LEAD-00006,ACC-0006,New Seller Onboarding,2023-01-18,2023-02-13,Closed Won,531996.84,
OPP-00007,LEAD-00007,ACC-0007,New Seller Onboarding,2022-06-15,2022-06-30,Closed Won,14717.35,
OPP-00008,LEAD-00008,ACC-0008,New Seller Onboarding,2021-12-05,2021-12-28,Closed Won,12006.75,
OPP-00009,LEAD-00009,ACC-0009,New Seller Onboarding,2022-08-29,2022-10-30,Closed Won,652921.84,
OPP-00010,LEAD-00010,ACC-0010,New Seller Onboarding,2022-03-29,2022-05-12,Closed Won,53092.95,
OPP-00011,LEAD-00011,ACC-0011,New Seller Onboarding,2024-01-06,2024-01-29,Closed Won,16051.06,
OPP-00012,LEAD-00012,ACC-0012,New Seller Onboarding,2023-09-02,2023-09-27,Closed Won,62481.57,
OPP-00013,LEAD-00013,ACC-0013,New Seller Onboarding,2024-04-05,2024-05-02,Closed Won,639224.47,
OPP-00014,LEAD-00014,ACC-0014,New Seller Onboarding,2022-12-19,2023-02-01,Closed Won,12398.16,
OPP-00015,LEAD-00015,ACC-0015,New Seller Onboarding,2021-11-25,2021-12-15,Closed Won,163207.87,
OPP-00016,LEAD-00016,ACC-0016,New Seller Onboarding,2020-12-12,2021-01-23,Closed Won,52642.38,
OPP-00017,LEAD-00017,ACC-0017,New Seller Onboarding,2022-05-21,2022-06-02,Closed Won,17253.56,
OPP-00018,LEAD-00018,ACC-0018,New Seller Onboarding,2022-02-15,2022-03-16,Closed Won,13562.88,
OPP-00019,LEAD-00019,ACC-0019,New Seller Onboarding,2022-11-04,2022-11-18,Closed Won,706914.5,
OPP-00020,LEAD-00020,ACC-0020,New Seller Onboarding,2023-09-12,2023-10-11,Closed Won,12591.25,
OPP-00021,LEAD-00021,ACC-0021,New Seller Onboarding,2022-12-12,2022-12-19,Closed Won,13856.22,
OPP-00022,LEAD-00022,ACC-0022,New Seller Onboarding,2021-03-20,2021-03-26,Closed Won,60121.45,
OPP-00023,LEAD-00023,ACC-0023,New Seller Onboarding,2022-02-14,2022-02-20,Closed Won,16297.08,
OPP-00024,LEAD-00024,ACC-0024,New Seller Onboarding,2022-04-30,2022-07-05,Closed Won,15636.88,
OPP-00025,LEAD-00025,ACC-0025,New Seller Onboarding,2023-09-23,2023-09-28,Closed Won,14127.31,
OPP-00026,LEAD-00026,ACC-0026,New Seller Onboarding,2023-01-26,2023-02-04,Closed Won,57504.18,
