product_id,product_name,category,seasonality_profile,mega_sale_sensitivity,price_usd,margin_pct
PRD-0001,Mobile Item 001,Mobile & Tablet,flat_growth,3.2,214.68,9.0
PRD-0002,Mobile Item 002,Mobile & Tablet,flat_growth,3.2,504.12,6.5
PRD-0003,Mobile Item 003,Mobile & Tablet,flat_growth,3.2,226.53,11.3
PRD-0004,Mobile Item 004,Mobile & Tablet,flat_growth,3.2,179.1,7.0
PRD-0005,Mobile Item 005,Mobile & Tablet,flat_growth,3.2,716.38,9.7
PRD-0006,Mobile Item 006,Mobile & Tablet,flat_growth,3.2,361.82,9.1
PRD-0007,Mobile Item 007,Mobile & Tablet,flat_growth,3.2,541.66,7.8
PRD-0008,Mobile Item 008,Mobile & Tablet,flat_growth,3.2,220.44,10.6
PRD-0009,Mobile Item 009,Mobile & Tablet,flat_growth,3.2,546.26,9.1
PRD-0010,Mobile Item 010,Mobile & Tablet,flat_growth,3.2,635.84,9.3
PRD-0011,Mobile Item 011,Mobile & Tablet,flat_growth,3.2,736.32,7.4
PRD-0012,Mobile Item 012,Mobile & Tablet,flat_growth,3.2,474.88,8.9
PRD-0013,Mobile Item 013,Mobile & Tablet,flat_growth,3.2,352.2,9.5
PRD-0014,Mobile Item 014,Mobile & Tablet,flat_growth,3.2,280.0,10.6
PRD-0015,Mobile Item 015,Mobile & Tablet,flat_growth,3.2,666.81,7.0
PRD-0016,Mobile Item 016,Mobile & Tablet,flat_growth,3.2,421.85,7.8
PRD-0017,Mobile Item 017,Mobile & Tablet,flat_growth,3.2,186.87,11.1
PRD-0018,Home Item 001,Home Appliances,nowruz_bump,2.6,305.22,11.0
PRD-0019,Home Item 002,Home Appliances,nowruz_bump,2.6,419.13,11.5
PRD-0020,Home Item 003,Home Appliances,nowruz_bump,2.6,525.87,11.6
PRD-0021,Home Item 004,Home Appliances,nowruz_bump,2.6,119.48,11.5
PRD-0022,Home Item 005,Home Appliances,nowruz_bump,2.6,265.81,13.7
PRD-0023,Home Item 006,Home Appliances,nowruz_bump,2.6,528.07,15.7
PRD-0024,Home Item 007,Home Appliances,nowruz_bump,2.6,262.8,9.9
PRD-0025,Home Item 008,Home Appliances,nowruz_bump,2.6,178.8,18.2
PRD-0026,Home Item 009,Home Appliances,nowruz_bump,2.6,319.15,15.6
PRD-0027,Home Item 010,Home Appliances,nowruz_bump,2.6,129.58,10.1
PRD-0028,Home Item 011,Home Appliances,nowruz_bump,2.6,499.88,14.7
PRD-0029,Home Item 012,Home Appliances,nowruz_bump,2.6,248.48,12.5
PRD-0030,Home Item 013,Home Appliances,nowruz_bump,2.6,145.76,11.3
PRD-0031,Home Item 014,Home Appliances,nowruz_bump,2.6,115.51,16.8
PRD-0032,Home Item 015,Home Appliances,nowruz_bump,2.6,322.23,10.9
PRD-0033,Home Item 016,Home Appliances,nowruz_bump,2.6,449.97,11.4
PRD-0034,Home Item 017,Home Appliances,nowruz_bump,2.6,132.98,14.8
PRD-0035,Fashion Item 001,Fashion & Apparel,spring_bump,2.0,90.56,22.9
PRD-0036,Fashion Item 002,Fashion & Apparel,spring_bump,2.0,83.22,26.1
PRD-0037,Fashion Item 003,Fashion & Apparel,spring_bump,2.0,25.53,22.7
PRD-0038,Fashion Item 004,Fashion & Apparel,spring_bump,2.0,41.73,36.4
PRD-0039,Fashion Item 005,Fashion & Apparel,spring_bump,2.0,57.95,38.8
PRD-0040,Fashion Item 006,Fashion & Apparel,spring_bump,2.0,35.59,28.5
PRD-0041,Fashion Item 007,Fashion & Apparel,spring_bump,2.0,38.91,41.2
PRD-0042,Fashion Item 008,Fashion & Apparel,spring_bump,2.0,94.22,28.9
PRD-0043,Fashion Item 009,Fashion & Apparel,spring_bump,2.0,53.32,28.4
PRD-0044,Fashion Item 010,Fashion & Apparel,spring_bump,2.0,78.47,23.2
PRD-0045,Fashion Item 011,Fashion & Apparel,spring_bump,2.0,23.46,30.2
PRD-0046,Fashion Item 012,Fashion & Apparel,spring_bump,2.0,37.85,38.6
PRD-0047,Fashion Item 013,Fashion & Apparel,spring_bump,2.0,78.09,32.9
PRD-0048,Fashion Item 014,Fashion & Apparel,spring_bump,2.0,71.58,35.7
PRD-0049,Fashion Item 015,Fashion & Apparel,spring_bump,2.0,81.27,40.2
PRD-0050,Fashion Item 016,Fashion & Apparel,spring_bump,2.0,30.13,34.4
PRD-0051,Fashion Item 017,Fashion & Apparel,spring_bump,2.0,29.63,30.9
PRD-0052,Beauty Item 001,Beauty & Health,gifting_bump,1.6,50.83,47.0
PRD-0053,Beauty Item 002,Beauty & Health,gifting_bump,1.6,49.47,27.4
PRD-0054,Beauty Item 003,Beauty & Health,gifting_bump,1.6,29.31,30.3
PRD-0055,Beauty Item 004,Beauty & Health,gifting_bump,1.6,61.54,29.9
PRD-0056,Beauty Item 005,Beauty & Health,gifting_bump,1.6,23.51,34.7
PRD-0057,Beauty Item 006,Beauty & Health,gifting_bump,1.6,14.27,46.4
PRD-0058,Beauty Item 007,Beauty & Health,gifting_bump,1.6,43.27,30.2
PRD-0059,Beauty Item 008,Beauty & Health,gifting_bump,1.6,36.31,28.4
PRD-0060,Beauty Item 009,Beauty & Health,gifting_bump,1.6,41.99,31.9
PRD-0061,Beauty Item 010,Beauty & Health,gifting_bump,1.6,13.15,29.2
PRD-0062,Beauty Item 011,Beauty & Health,gifting_bump,1.6,39.19,41.1
PRD-0063,Beauty Item 012,Beauty & Health,gifting_bump,1.6,27.57,41.3
PRD-0064,Beauty Item 013,Beauty & Health,gifting_bump,1.6,28.94,29.6
PRD-0065,Beauty Item 014,Beauty & Health,gifting_bump,1.6,27.09,35.6
PRD-0066,Beauty Item 015,Beauty & Health,gifting_bump,1.6,57.2,29.2
PRD-0067,Beauty Item 016,Beauty & Health,gifting_bump,1.6,15.54,39.4
PRD-0068,Beauty Item 017,Beauty & Health,gifting_bump,1.6,59.75,47.3
PRD-0069,Books Item 001,Books & Media,back_to_school,1.1,19.93,16.3
PRD-0070,Books Item 002,Books & Media,back_to_school,1.1,22.22,24.4
PRD-0071,Books Item 003,Books & Media,back_to_school,1.1,7.91,21.5
PRD-0072,Books Item 004,Books & Media,back_to_school,1.1,5.87,26.0
PRD-0073,Books Item 005,Books & Media,back_to_school,1.1,20.32,26.0
PRD-0074,Books Item 006,Books & Media,back_to_school,1.1,21.22,18.9
PRD-0075,Books Item 007,Books & Media,back_to_school,1.1,21.86,18.7
PRD-0076,Books Item 008,Books & Media,back_to_school,1.1,7.78,20.6
PRD-0077,Books Item 009,Books & Media,back_to_school,1.1,15.55,19.2
PRD-0078,Books Item 010,Books & Media,back_to_school,1.1,17.88,23.4
PRD-0079,Books Item 011,Books & Media,back_to_school,1.1,9.98,23.6
PRD-0080,Books Item 012,Books & Media,back_to_school,1.1,12.52,25.1
PRD-0081,Books Item 013,Books & Media,back_to_school,1.1,11.07,25.9
PRD-0082,Books Item 014,Books & Media,back_to_school,1.1,13.77,22.7
PRD-0083,Books Item 015,Books & Media,back_to_school,1.1,19.34,22.2
PRD-0084,Books Item 016,Books & Media,back_to_school,1.1,10.36,28.3
PRD-0085,Books Item 017,Books & Media,back_to_school,1.1,6.87,19.7
PRD-0086,Digital Item 001,Digital Goods,flat_growth,3.6,24.99,39.4
PRD-0087,Digital Item 002,Digital Goods,flat_growth,3.6,12.22,64.9
PRD-0088,Digital Item 003,Digital Goods,flat_growth,3.6,32.6,59.5
PRD-0089,Digital Item 004,Digital Goods,flat_growth,3.6,36.42,63.4
PRD-0090,Digital Item 005,Digital Goods,flat_growth,3.6,16.88,59.8
PRD-0091,Digital Item 006,Digital Goods,flat_growth,3.6,18.22,63.2
PRD-0092,Digital Item 007,Digital Goods,flat_growth,3.6,19.67,43.6
