customer_id,recency_days,frequency_180d,monetary_180d,n_categories_180d,return_rate_180d,late_delivery_rate_180d,avg_order_value,n_cases_180d,avg_csat_180d,registration_date,region,acquisition_channel,marketing_opt_in,tenure_days,churned,snapshot_date,acquisition_channel_code,region_code,R_score,F_score,M_score,RFM_score,churn_probability,churn_percentile,segment
CUST-002215,172,1,98.94,1,0.0,0.0,98.94,0.0,3.8876804238639324,2020-06-01,South,Email Campaign,0,1553,True,2024-09-01,1,3,1,1,1,3,0.7383992194839779,1.0,Others
CUST-000670,172,1,661.32,1,0.0,0.0,661.32,0.0,3.8876804238639324,2020-04-11,North,Referral,1,1604,False,2024-09-01,4,2,1,1,3,5,0.7315346986251013,0.9999623593179509,At Risk
CUST-029249,175,1,101.66,1,1.0,0.0,101.66,1.0,4.0,2020-02-04,South,Social Media,0,1671,True,2024-09-01,5,3,1,1,1,3,0.7156983142877165,0.9999247186359017,Others
CUST-020235,171,1,1056.6,1,0.0,1.0,1056.6,0.0,3.8876804238639324,2021-08-05,West,Email Campaign,0,1123,True,2024-09-01,1,4,1,1,4,6,0.7150906734880433,0.9998870779538526,At Risk
CUST-031566,163,1,90.18,1,0.0,0.0,90.18,0.0,3.8876804238639324,2020-07-19,North,Email Campaign,1,1505,False,2024-09-01,1,2,1,1,1,3,0.7071075238863591,0.9998494372718033,Others
CUST-020255,159,1,560.0,1,0.0,0.0,560.0,0.0,3.8876804238639324,2020-03-23,West,Referral,1,1623,True,2024-09-01,4,4,1,1,3,5,0.6976528194679644,0.9998117965897542,At Risk
CUST-035197,108,1,81.27,1,0.0,0.0,81.27,0.0,3.8876804238639324,2020-08-10,East,Email Campaign,1,1483,True,2024-09-01,1,1,1,2,1,4,0.6888477528756873,0.999774155907705,Others
CUST-026823,156,1,265.81,1,0.0,1.0,265.81,1.0,4.0,2020-04-20,East,Paid Ads,0,1595,True,2024-09-01,3,1,1,1,2,4,0.6822138403216211,0.9997365152256559,Others
CUST-019416,170,1,71.18,1,0.0,0.0,71.18,0.0,3.8876804238639324,2020-07-08,South,Direct,1,1516,True,2024-09-01,0,3,1,1,1,3,0.681732514177629,0.9996988745436067,Others
CUST-026906,171,1,525.87,1,0.0,0.0,525.87,0.0,3.8876804238639324,2020-07-21,North,Referral,1,1503,True,2024-09-01,4,2,1,1,3,5,0.6750553918573245,0.9996612338615576,At Risk
CUST-021633,126,1,1085.46,1,0.0,0.0,1085.46,0.0,3.8876804238639324,2020-06-01,North,Referral,1,1553,True,2024-09-01,4,2,1,1,4,6,0.6749569675381887,0.9996235931795084,At Risk
CUST-012666,155,1,666.81,1,0.0,0.0,666.81,0.0,3.8876804238639324,2020-05-12,Central,Referral,1,1573,True,2024-09-01,4,0,1,1,3,5,0.6714365226831547,0.9995859524974593,At Risk
CUST-024448,126,1,41.73,1,1.0,0.0,41.73,1.0,4.0,2020-05-31,South,Organic Search,0,1554,False,2024-09-01,2,3,1,1,1,3,0.6638651198041698,0.99954831181541,Others
CUST-024265,148,1,1056.14,1,0.0,0.0,1056.14,0.0,3.8876804238639324,2020-06-01,North,Paid Ads,1,1553,True,2024-09-01,3,2,1,1,4,6,0.6584603641761616,0.9995106711333609,At Risk
CUST-010871,11,1,666.81,1,0.0,0.0,666.81,0.0,3.8876804238639324,2020-03-21,West,Paid Ads,0,1625,True,2024-09-01,3,4,4,1,3,8,0.6563130114984721,0.9994730304513118,At Risk
CUST-015173,165,1,1271.68,1,0.0,1.0,1271.68,1.0,3.8876804238639324,2021-09-05,South,Referral,1,1092,True,2024-09-01,4,3,1,1,4,6,0.6480027059383399,0.9994353897692626,At Risk
CUST-014860,156,1,226.53,1,0.0,0.0,226.53,0.0,3.8876804238639324,2020-06-14,South,Paid Ads,0,1540,False,2024-09-01,3,3,1,1,2,4,0.6473805148514744,0.9993977490872135,Others
CUST-007282,179,1,177.34,1,0.0,0.0,177.34,0.0,3.8876804238639324,2020-07-31,Central,Paid Ads,0,1493,True,2024-09-01,3,0,1,1,2,4,0.6472706821452907,0.9993601084051643,Others
CUST-000716,166,1,113.98,1,1.0,0.0,113.98,1.0,3.0,2020-05-10,East,Organic Search,0,1575,False,2024-09-01,2,1,1,1,1,3,0.6466148741750258,0.9993224677231152,Others
